Getting started;;Overview;https://docs.fast.ai/
;;Installing;https://docs.fast.ai/#Installing
;;Learning fastai;https://docs.fast.ai/#Learning-fastai
;;About fastai;https://docs.fast.ai/#About-fastai
;;Migrating from other libraries;https://docs.fast.ai/#Migrating-from-other-libraries
;;Windows Support;https://docs.fast.ai/#Windows-Support
;;Tests;https://docs.fast.ai/#Tests
;;Contributing;https://docs.fast.ai/#Contributing
;;Docker Containers;https://docs.fast.ai/#Docker-Containers
Getting started;;Quick Start;https://docs.fast.ai/quick_start.html
;;Computer vision classification;https://docs.fast.ai/quick_start.html#Computer-vision-classification
;;;Computer vision segmentation;https://docs.fast.ai/quick_start.html#Computer-vision-segmentation
;;Natural language processing;https://docs.fast.ai/quick_start.html#Natural-language-processing
;;Tabular;https://docs.fast.ai/quick_start.html#Tabular
;;Recommendation systems;https://docs.fast.ai/quick_start.html#Recommendation-systems
Tutorials;;Overview;https://docs.fast.ai/tutorial.html
Tutorials;Beginner;Vision Tutorial;https://docs.fast.ai/tutorial.vision.html
;;Single-label classification;https://docs.fast.ai/tutorial.vision.html#Single-label-classification
;;;Cats vs dogs;https://docs.fast.ai/tutorial.vision.html#Cats-vs-dogs
;;;Classifying breeds;https://docs.fast.ai/tutorial.vision.html#Classifying-breeds
;;;Single-label classification - With the data block API;https://docs.fast.ai/tutorial.vision.html#Single-label-classification---With-the-data-block-API
;;Multi-label classification;https://docs.fast.ai/tutorial.vision.html#Multi-label-classification
;;;Multi-label classification - Using the high-level API;https://docs.fast.ai/tutorial.vision.html#Multi-label-classification---Using-the-high-level-API
;;;Multi-label classification - With the data block API;https://docs.fast.ai/tutorial.vision.html#Multi-label-classification---With-the-data-block-API
;;Segmentation;https://docs.fast.ai/tutorial.vision.html#Segmentation
;;;Segmentation - Using the high-level API;https://docs.fast.ai/tutorial.vision.html#Segmentation---Using-the-high-level-API
;;;Segmentation - With the data block API;https://docs.fast.ai/tutorial.vision.html#Segmentation---With-the-data-block-API
;;Points;https://docs.fast.ai/tutorial.vision.html#Points
Tutorials;Beginner;Text Tutorial;https://docs.fast.ai/tutorial.text.html
;;Train a text classifier from a pretrained model;https://docs.fast.ai/tutorial.text.html#Train-a-text-classifier-from-a-pretrained-model
;;Using the high-level API;https://docs.fast.ai/tutorial.text.html#Using-the-high-level-API
;;;Using the data block API;https://docs.fast.ai/tutorial.text.html#Using-the-data-block-API
;;The ULMFiT approach;https://docs.fast.ai/tutorial.text.html#The-ULMFiT-approach
;;;Fine-tuning a language model on IMDb;https://docs.fast.ai/tutorial.text.html#Fine-tuning-a-language-model-on-IMDb
;;;Training a text classifier;https://docs.fast.ai/tutorial.text.html#Training-a-text-classifier
Tutorials;Beginner;Tabular Tutorial;https://docs.fast.ai/tutorial.tabular.html
;;fastai with Other Libraries;https://docs.fast.ai/tutorial.tabular.html#fastai-with-Other-Libraries
Tutorials;Beginner;Collab Tutorial;https://docs.fast.ai/tutorial.collab.html
;;Training a model;https://docs.fast.ai/tutorial.collab.html#Training-a-model
;;Interpretation;https://docs.fast.ai/tutorial.collab.html#Interpretation
;;;Movie bias;https://docs.fast.ai/tutorial.collab.html#Movie-bias
;;;Movie weights;https://docs.fast.ai/tutorial.collab.html#Movie-weights
Tutorials;Intermediate;DataBlock Tutorial;https://docs.fast.ai/tutorial.datablock.html
;;Building a DataBlock from scratch;https://docs.fast.ai/tutorial.datablock.html#Building-a-DataBlock-from-scratch
;;Image classification;https://docs.fast.ai/tutorial.datablock.html#Image-classification
;;;MNIST (single label);https://docs.fast.ai/tutorial.datablock.html#MNIST-(single-label)
;;;Pets (single label);https://docs.fast.ai/tutorial.datablock.html#Pets-(single-label)
;;;Pascal (multi-label);https://docs.fast.ai/tutorial.datablock.html#Pascal-(multi-label)
;;Image localization;https://docs.fast.ai/tutorial.datablock.html#Image-localization
;;;Segmentation;https://docs.fast.ai/tutorial.datablock.html#Segmentation
;;;Points;https://docs.fast.ai/tutorial.datablock.html#Points
;;;Bounding boxes;https://docs.fast.ai/tutorial.datablock.html#Bounding-boxes
;;Text;https://docs.fast.ai/tutorial.datablock.html#Text
;;;Language model;https://docs.fast.ai/tutorial.datablock.html#Language-model
;;;Text classification;https://docs.fast.ai/tutorial.datablock.html#Text-classification
;;Tabular data;https://docs.fast.ai/tutorial.datablock.html#Tabular-data
Tutorials;Intermediate;Imagenette Tutorial;https://docs.fast.ai/tutorial.imagenette.html
;;Assemble the data;https://docs.fast.ai/tutorial.imagenette.html#Assemble-the-data
;;;Loading the data with a factory method;https://docs.fast.ai/tutorial.imagenette.html#Loading-the-data-with-a-factory-method
;;;Loading the data with the data block API;https://docs.fast.ai/tutorial.imagenette.html#Loading-the-data-with-the-data-block-API
;;;Loading the data with the mid-level API;https://docs.fast.ai/tutorial.imagenette.html#Loading-the-data-with-the-mid-level-API
;;Training;https://docs.fast.ai/tutorial.imagenette.html#Training
;;;Building a Learner;https://docs.fast.ai/tutorial.imagenette.html#Building-a-Learner
;;;Changing the loss function;https://docs.fast.ai/tutorial.imagenette.html#Changing-the-loss-function
;;;Changing the optimizer;https://docs.fast.ai/tutorial.imagenette.html#Changing-the-optimizer
;;;Changing the training loop with a Callback;https://docs.fast.ai/tutorial.imagenette.html#Changing-the-training-loop-with-a-Callback
Tutorials;Intermediate;Medical Imaging Tutorial;https://docs.fast.ai/tutorial.medical_imaging.html
;;Download and import of X-ray DICOM files;https://docs.fast.ai/tutorial.medical_imaging.html#Download-and-import-of-X-ray-DICOM-files
;;What are DICOMs?;https://docs.fast.ai/tutorial.medical_imaging.html#What-are-DICOMs?
